date,symbol,open,high,low,close,volume,ticker
2026-06-11,EGX:ABUK,79.0,80.0,75.8,76.5,1926060.0,ABUK
2026-06-11,EGX:ADIB,44.85,45.0,44.01,44.1,1389778.0,ADIB
2026-06-11,EGX:AMOC,8.14,8.19,7.92,7.95,9105850.0,AMOC
2026-06-11,EGX:BTFH,3.05,3.05,2.96,2.97,49201468.0,BTFH
2026-06-11,EGX:CCAP,5.15,5.27,5.06,5.14,113086285.0,CCAP
2026-06-11,EGX:CIEB,23.6,23.7,23.27,23.3,269678.0,CIEB
2026-06-11,EGX:CIRA,25.91,26.2,25.23,26.0,144980.0,CIRA
2026-06-11,EGX:COMI,131.05,132.16,130.0,131.69,3642344.0,COMI
2026-06-11,EGX:DOMT,24.05,24.42,23.7,23.91,80858.0,DOMT
2026-06-11,EGX:EAST,38.6,38.77,37.79,38.11,695767.0,EAST
2026-06-11,EGX:EFIC,204.33,205.0,192.01,205.0,61892.0,EFIC
2026-06-11,EGX:EGAL,311.0,312.95,305.01,307.55,182139.0,EGAL
2026-06-11,EGX:ETEL,92.56,92.56,89.8,90.16,883624.0,ETEL
2026-06-11,EGX:EXPA,18.63,19.0,18.31,18.43,1739852.0,EXPA
2026-06-11,EGX:FWRY,18.1,18.2,17.71,17.8,16020355.0,FWRY
2026-06-11,EGX:HELI,6.46,6.5,6.28,6.4,10808869.0,HELI
2026-06-11,EGX:HRHO,26.05,26.24,25.8,26.03,2408492.0,HRHO
2026-06-11,EGX:ISPH,11.92,11.92,11.3,11.44,8589030.0,ISPH
2026-06-11,EGX:JUFO,29.49,29.6,28.5,29.3,1140301.0,JUFO
2026-06-11,EGX:MASR,6.85,6.88,6.54,6.62,10755305.0,MASR
2026-06-11,EGX:MFPC,41.2,41.45,39.47,39.98,3112102.0,MFPC
2026-06-11,EGX:MTIE,8.89,8.97,8.65,8.72,1987377.0,MTIE
2026-06-11,EGX:ORHD,36.6,36.99,35.01,36.11,3827544.0,ORHD
2026-06-11,EGX:ORWE,23.16,23.16,22.65,22.99,1548630.0,ORWE
2026-06-11,EGX:PHDC,14.7,14.87,14.43,14.5,9238751.0,PHDC
2026-06-11,EGX:SUGR,49.25,49.25,48.21,48.4,137030.0,SUGR
2026-06-11,EGX:SWDY,86.2,86.2,84.01,84.41,245247.0,SWDY
2026-06-11,EGX:TMGH,94.36,95.0,92.91,92.91,2953647.0,TMGH
2026-06-11,EGX:VLMR,0.672,0.673,0.67,0.672,216429.0,VLMR
