date,symbol,open,high,low,close,volume
2005-07-04,EGX:ADIB,1.03386915,1.03386915,1.00515056,1.01807392,231264.85634438
2005-07-05,EGX:ADIB,1.05540809,1.06833145,1.05540809,1.06689552,611889.42643297
2005-07-06,EGX:ADIB,1.12002491,1.12002491,1.12002491,1.12002491,113167.12586112
2005-07-07,EGX:ADIB,1.17602616,1.17602616,1.16884651,1.17602616,1032251.32699317
2005-07-10,EGX:ADIB,1.23346333,1.23346333,1.2076166,1.22915554,363708.69632141
2005-07-11,EGX:ADIB,1.28802865,1.28802865,1.20618067,1.23489926,293586.86307245
2005-07-12,EGX:ADIB,1.19182138,1.2463867,1.18607766,1.23489926,153259.62700466
2005-07-13,EGX:ADIB,1.20618067,1.23489926,1.19469324,1.20618067,81793.71650701
2005-07-14,EGX:ADIB,1.23920705,1.26648971,1.23920705,1.26648971,421573.65932326
2005-07-17,EGX:ADIB,1.26792564,1.27079749,1.22053997,1.24351484,228305.10074493
2005-07-18,EGX:ADIB,1.26218192,1.26218192,1.21048846,1.22484775,133070.61175104
2005-07-19,EGX:ADIB,1.24925855,1.28515679,1.23059147,1.280849,522163.56491945
2005-07-20,EGX:ADIB,1.29233644,1.32105502,1.21766811,1.26505378,343805.2104315
2005-07-21,EGX:ADIB,1.22771961,1.29233644,1.22771961,1.27366935,160599.82089128
2005-07-24,EGX:ADIB,1.22341197,1.22341197,1.21048846,1.21910404,62120.04693423
2005-07-25,EGX:ADIB,1.158795,1.16453872,1.158795,1.158795,389155.63034582
2005-07-26,EGX:ADIB,1.11284526,1.11284526,1.10135783,1.10279376,304381.2658469
2005-07-27,EGX:ADIB,1.1487435,1.15735907,1.11284526,1.15448722,183093.96344706
2005-07-28,EGX:ADIB,1.21192439,1.21192439,1.21192439,1.21192439,6964.13082222
2005-07-31,EGX:ADIB,1.27223342,1.27223342,1.27223342,1.27223342,7326.26562498
2005-08-01,EGX:ADIB,1.33541432,1.33541432,1.33541432,1.33541432,505992.85315025
2005-08-02,EGX:ADIB,1.40146707,1.40146707,1.40146707,1.40146707,310077.92485948
2005-08-03,EGX:ADIB,1.47039168,1.47039168,1.3641329,1.45890424,2534302.91925349
2005-08-04,EGX:ADIB,1.43592937,1.43592937,1.38710777,1.39859521,604284.5955751
2005-08-07,EGX:ADIB,1.43592937,1.46464796,1.34259396,1.4273138,544205.03897179
2005-08-08,EGX:ADIB,1.42157008,1.42300601,1.3784922,1.40003114,300000.82755972
2005-08-09,EGX:ADIB,1.39428742,1.42874973,1.34977361,1.38423591,259692.43836069
2005-08-10,EGX:ADIB,1.32823467,1.40577486,1.32823467,1.3641329,117610.2413257
2005-08-11,EGX:ADIB,1.34977361,1.34977361,1.29664422,1.31100352,471443.8001412
2005-08-14,EGX:ADIB,1.28659272,1.31818316,1.2564382,1.28228493,289457.13349487
2005-08-15,EGX:ADIB,1.29233644,1.31387538,1.22341197,1.25787413,284805.09410563
2005-08-16,EGX:ADIB,1.27079749,1.27079749,1.20618067,1.2219759,260319.21013469
2005-08-17,EGX:ADIB,1.21479625,1.21479625,1.17746209,1.19038545,92358.30296432
2005-08-18,EGX:ADIB,1.18464173,1.24925855,1.18464173,1.2076166,150975.39209497
2005-08-21,EGX:ADIB,1.16741058,1.18464173,1.16741058,1.17746209,112609.99539534
2005-08-22,EGX:ADIB,1.17746209,1.21479625,1.16453872,1.18033394,197683.81751962
2005-08-23,EGX:ADIB,1.23489926,1.23920705,1.23489926,1.23777112,44570.43726223
2005-08-24,EGX:ADIB,1.29951608,1.29951608,1.29808015,1.29951608,362058.19731655
2005-08-25,EGX:ADIB,1.2564382,1.31961909,1.2564382,1.29377236,157653.99355348
2005-08-28,EGX:ADIB,1.29377236,1.29377236,1.24351484,1.26792564,206967.00390564
2005-08-29,EGX:ADIB,1.26648971,1.28372086,1.2463867,1.2564382,109629.34740343
2005-08-30,EGX:ADIB,1.2564382,1.2564382,1.2463867,1.24925855,39695.54568667
2005-08-31,EGX:ADIB,1.29233644,1.31100352,1.29233644,1.30813166,333923.10879477
2005-09-01,EGX:ADIB,1.31818316,1.34977361,1.31531131,1.32392688,139247.79579035
2005-09-04,EGX:ADIB,1.30382387,1.37131255,1.30238794,1.35120954,149380.60613668
2005-09-05,EGX:ADIB,1.3540814,1.3540814,1.30956759,1.31674723,57182.47818127
2005-09-06,EGX:ADIB,1.30669573,1.3397221,1.30238794,1.32249095,186060.68317733
2005-09-07,EGX:ADIB,1.30669573,1.30813166,1.28946458,1.30238794,73401.93886623
2005-09-08,EGX:ADIB,1.29233644,1.34546582,1.29233644,1.32536281,124309.73517668
2005-09-11,EGX:ADIB,1.29951608,1.30956759,1.28228493,1.29664422,78485.75436645
2005-09-12,EGX:ADIB,1.29951608,1.32105502,1.29664422,1.30382387,239405.92527556
2005-09-13,EGX:ADIB,1.29951608,1.32105502,1.29808015,1.30956759,126050.76788223
2005-09-14,EGX:ADIB,1.32536281,1.3296706,1.29233644,1.30669573,351194.15323388
2005-09-15,EGX:ADIB,1.32823467,1.36844069,1.29233644,1.30382387,316554.56652414
2005-09-18,EGX:ADIB,1.29233644,1.33541432,1.27797714,1.30956759,256865.00124687
