date,symbol,open,high,low,close,volume
2004-11-29,EGX:EGAL,7.92605669,7.92605669,7.92605669,7.92605669,4125.00197269
2004-12-05,EGX:EGAL,7.53090561,7.9357539,7.53090561,7.85696594,8456.25404401
2004-12-07,EGX:EGAL,7.92605669,7.92605669,7.92605669,7.92605669,825.00039454
2004-12-08,EGX:EGAL,7.53332997,7.53332997,7.53332997,7.53332997,825.00039454
2004-12-09,EGX:EGAL,7.7502992,7.90908713,7.7502992,7.85454206,5882.25281306
2004-12-12,EGX:EGAL,7.87757175,7.9357539,7.87757175,7.89332992,4636.5022173
2004-12-13,EGX:EGAL,7.9309053,7.93696626,7.9309053,7.93332918,4125.00197269
2004-12-14,EGX:EGAL,7.63635998,7.93817778,7.63635998,7.88120799,4950.00236723
2004-12-15,EGX:EGAL,7.54545094,7.88120799,7.54545094,7.88120799,783.75037481
2004-12-16,EGX:EGAL,7.93939014,7.93939014,7.93939014,7.93939014,4125.00197269
2004-12-21,EGX:EGAL,7.5430267,7.93939014,7.5430267,7.84726873,5775.00276177
2004-12-22,EGX:EGAL,7.93939014,7.93939014,7.63999623,7.88605659,5775.00276177
2004-12-23,EGX:EGAL,7.92605669,8.23878406,7.92605669,7.98908757,4125.00197269
2004-12-26,EGX:EGAL,7.64848095,7.98908757,7.64848095,7.98908757,206.25009863
2004-12-28,EGX:EGAL,7.67272348,7.98908757,7.63999623,7.98908757,767.25036692
2004-12-29,EGX:EGAL,7.666663,7.87636023,7.65575391,7.81454184,5775.00276177
2004-12-30,EGX:EGAL,7.87757175,7.99999617,7.75757205,7.88969271,27736.51326437
2005-01-02,EGX:EGAL,7.51514792,7.75757205,7.51514792,7.70908698,3159.75151108
2005-01-03,EGX:EGAL,7.75757205,7.9975723,7.75757205,7.7915113,4372.50209105
2005-01-04,EGX:EGAL,7.76363301,7.76363301,7.76363301,7.76363301,7218.75345221
2005-01-05,EGX:EGAL,7.52969325,7.52969325,7.45575377,7.50302696,4950.00236723
2005-01-10,EGX:EGAL,7.45454189,7.51514792,7.45454189,7.50060259,2681.25128225
2005-01-12,EGX:EGAL,7.5163598,7.5163598,7.51514792,7.51514792,3093.75147952
2005-01-13,EGX:EGAL,7.51514792,7.51514792,7.51514792,7.51514792,412.50019727
2005-01-16,EGX:EGAL,7.51514792,7.51514792,7.51514792,7.51514792,1856.25088771
2005-01-17,EGX:EGAL,7.51514792,7.51514792,7.45454189,7.48969351,9537.00456086
2005-01-18,EGX:EGAL,7.40605682,7.40605682,7.39393586,7.39999634,1237.50059181
2005-01-24,EGX:EGAL,7.39393586,7.39393586,7.39393586,7.39393586,8250.00394538
2005-01-25,EGX:EGAL,7.51514792,7.51514792,7.51514792,7.51514792,4125.00197269
2005-01-26,EGX:EGAL,7.51514792,7.5163598,7.51514792,7.51514792,2887.50138088
2005-01-27,EGX:EGAL,7.51514792,7.52242077,7.51514792,7.5163598,4950.00236723
2005-01-31,EGX:EGAL,7.3975721,7.51514792,7.3975721,7.43635984,1237.50059181
2005-02-02,EGX:EGAL,7.39999634,7.39999634,7.3345417,7.37575381,4950.00236723
2005-02-03,EGX:EGAL,7.68242069,7.7442386,7.27272379,7.53817809,8786.25420183
2005-02-06,EGX:EGAL,7.63635998,7.63878423,7.63635998,7.63757186,12375.00591807
2005-02-07,EGX:EGAL,7.63635998,7.63635998,7.63635998,7.63635998,16912.50808803
2005-02-08,EGX:EGAL,7.89090507,7.89090507,7.63635998,7.63635998,412.50019727
2005-02-13,EGX:EGAL,7.45454189,7.63635998,7.45454189,7.63635998,173.25008285
2005-02-14,EGX:EGAL,7.87272314,7.87757175,7.87272314,7.87393551,825.00039454
2005-02-24,EGX:EGAL,7.63514811,7.87393551,7.63514811,7.87393551,495.00023672
2005-02-28,EGX:EGAL,7.51514792,7.58787492,7.51514792,7.56484487,899.25043005
2005-03-01,EGX:EGAL,7.63635998,7.63635998,7.63635998,7.63635998,4125.00197269
2005-03-02,EGX:EGAL,7.63635998,7.72605715,7.63635998,7.64484483,4537.50216996
2005-03-06,EGX:EGAL,7.72605715,7.72605715,7.66060252,7.69939026,1031.25049317
2005-03-07,EGX:EGAL,8.02666295,8.02666295,8.02666295,8.02666295,825.00039454
2005-03-08,EGX:EGAL,7.99999617,7.99999617,7.87878411,7.93939014,1650.00078908
2005-03-09,EGX:EGAL,7.93939014,8.33454171,7.63635998,8.07514802,2904.00138877
2005-03-10,EGX:EGAL,7.75757205,8.07514802,7.75757205,8.07514802,495.00023672
2005-03-13,EGX:EGAL,8.12120824,8.2424203,8.12120824,8.21938977,13200.00631261
2005-03-15,EGX:EGAL,7.87878411,7.87878411,7.81211711,7.86545066,1031.25049317
2005-03-16,EGX:EGAL,7.54545094,7.54545094,7.48484491,7.51757216,1328.25063521
2005-03-17,EGX:EGAL,7.4751477,7.51514792,7.4751477,7.48605678,1443.75069044
2005-03-21,EGX:EGAL,7.39393586,7.48605678,7.39393586,7.48605678,412.50019727
2005-03-22,EGX:EGAL,7.39393586,7.39393586,7.39393586,7.39393586,4125.00197269
2005-03-24,EGX:EGAL,7.18181475,7.27393567,7.18181475,7.26666331,6187.50295903
2005-03-27,EGX:EGAL,7.2363603,7.26666331,7.2363603,7.26666331,511.50024461
2005-03-30,EGX:EGAL,7.24848126,7.24848126,7.21211776,7.22302685,5775.00276177
2005-03-31,EGX:EGAL,7.18181475,7.18181475,7.18181475,7.18181475,4125.00197269
2005-04-03,EGX:EGAL,7.27272379,7.27272379,7.27272379,7.27272379,4125.00197269
2005-04-04,EGX:EGAL,7.27272379,7.27272379,7.27272379,7.27272379,247.50011836
2005-04-13,EGX:EGAL,7.03029967,7.63635998,7.03029967,7.46302673,2887.50138088
2005-04-14,EGX:EGAL,7.71272371,7.83514765,7.71272371,7.76848065,7425.00355084
2005-04-17,EGX:EGAL,7.39393586,7.39393586,7.39393586,7.39393586,990.00047345
2005-04-18,EGX:EGAL,7.63635998,7.63635998,7.63635998,7.63635998,7260.00347193
2005-04-20,EGX:EGAL,7.39514774,7.63635998,7.39514774,7.63635998,90.7500434
2005-04-26,EGX:EGAL,7.28605724,7.28605724,7.28605724,7.28605724,1031.25049317
2005-04-27,EGX:EGAL,7.63635998,7.64969343,7.39393586,7.60120836,5775.00276177
2005-04-28,EGX:EGAL,7.98060176,7.98060176,7.87878411,7.89938992,4125.00197269
2005-05-04,EGX:EGAL,7.54545094,7.54545094,7.54545094,7.54545094,825.00039454
2005-05-05,EGX:EGAL,7.63635998,7.92242057,7.63635998,7.8593897,10568.25505403
2005-05-10,EGX:EGAL,7.46787534,7.8593897,7.46787534,7.8593897,206.25009863
2005-05-29,EGX:EGAL,7.46666285,7.8593897,7.46666285,7.8593897,206.25009863
2005-06-20,EGX:EGAL,7.46666285,7.46666285,7.46666285,7.46666285,1897.50090744
2005-06-21,EGX:EGAL,7.75757205,7.75757205,7.75757205,7.75757205,1650.00078908
2005-06-23,EGX:EGAL,7.39999634,7.39999634,7.36969332,7.38181489,3770.25180304
2005-06-26,EGX:EGAL,7.69696602,7.7502992,7.69696602,7.73575388,3225.75154264
2005-06-28,EGX:EGAL,7.75151157,7.75151157,7.75151157,7.75151157,1237.50059181
2005-06-30,EGX:EGAL,7.40726931,7.75757205,7.40726931,7.67029924,3300.00157815
2005-07-04,EGX:EGAL,7.39514774,7.39514774,7.39393586,7.39393586,1237.50059181
2005-07-05,EGX:EGAL,7.40605682,7.40605682,7.27272379,7.34666327,11962.5057208
2005-07-06,EGX:EGAL,7.39393586,7.39393586,7.39393586,7.39393586,2062.50098634
2005-07-10,EGX:EGAL,7.34545079,7.39393586,7.34545079,7.39393586,412.50019727
2005-07-12,EGX:EGAL,7.45454189,7.51514792,7.45454189,7.47151146,4620.00220941
2005-07-17,EGX:EGAL,7.27272379,7.4012087,7.27272379,7.37939053,2565.75122701
2005-07-19,EGX:EGAL,7.39393586,7.45333001,7.39393586,7.45090565,5214.00249348
2005-07-20,EGX:EGAL,7.27272379,7.45090565,7.27272379,7.45090565,330.00015782
2005-07-21,EGX:EGAL,7.39393586,7.45090565,7.39393586,7.45090565,297.00014203
2005-07-27,EGX:EGAL,7.63393574,7.67272348,7.45454189,7.63635998,2887.50138088
2005-07-28,EGX:EGAL,7.63514811,7.81817808,7.63514811,7.68242069,3300.00157815
2005-07-31,EGX:EGAL,7.45454189,7.45454189,7.44848141,7.45333001,3745.5017912
2005-08-04,EGX:EGAL,7.39393586,7.45333001,7.39393586,7.45333001,206.25009863
2005-08-07,EGX:EGAL,7.51514792,7.51514792,7.51514792,7.51514792,825.00039454
2005-08-09,EGX:EGAL,7.39393586,7.39393586,7.39393586,7.39393586,825.00039454
2005-08-11,EGX:EGAL,7.45454189,7.45454189,7.45454189,7.45454189,1650.00078908
2005-08-16,EGX:EGAL,7.28605724,7.28605724,7.28484476,7.28605724,1237.50059181
2005-08-17,EGX:EGAL,7.51514792,7.51514792,7.42423887,7.4799963,2681.25128225
2005-08-23,EGX:EGAL,7.12120872,7.12120872,7.11514823,7.11757247,2062.50098634
2005-08-28,EGX:EGAL,7.45454189,7.46666285,7.45454189,7.45696613,825.00039454
2005-08-29,EGX:EGAL,7.39393586,7.39393586,7.39393586,7.39393586,2310.00110471
2005-09-01,EGX:EGAL,7.39393586,7.6302995,7.39393586,7.48726915,4125.00197269
2005-09-06,EGX:EGAL,7.51514792,7.51514792,7.51514792,7.51514792,5156.25246586
2005-09-07,EGX:EGAL,7.45454189,7.45454189,7.45454189,7.45454189,4125.00197269
2005-09-08,EGX:EGAL,7.75514781,7.82666292,7.75514781,7.77332925,3844.50183855
2005-09-11,EGX:EGAL,7.75757205,8.16120846,7.75757205,8.06545081,14231.25680578
2005-09-12,EGX:EGAL,8.46666238,8.46787486,8.46666238,8.46787486,28462.51361156
2005-09-13,EGX:EGAL,8.8909046,8.8909046,8.8909046,8.8909046,27868.51332749
2005-09-14,EGX:EGAL,9.33454123,9.33454123,9.33454123,9.33454123,20625.00986345
2005-09-15,EGX:EGAL,9.80120756,9.80120756,9.80120756,9.80120756,88390.5422708
2005-09-18,EGX:EGAL,10.29090441,10.29090441,10.24241934,10.28969193,61644.02947988
2005-09-19,EGX:EGAL,10.36363141,10.36363141,9.77696551,9.85817735,14231.25680578
2005-09-20,EGX:EGAL,9.3939349,9.39999587,9.36605576,9.37454049,12911.25617452
2005-09-21,EGX:EGAL,8.90666277,8.96969268,8.90666277,8.90666277,9487.50453719
2005-09-22,EGX:EGAL,9.35029844,9.35151092,9.35029844,9.35151092,9900.00473446
2005-09-25,EGX:EGAL,9.39514726,9.39514726,9.3939349,9.39514726,6806.25325494
2005-09-26,EGX:EGAL,9.78787411,9.78787411,9.3939349,9.49938976,5486.25262368
2005-09-27,EGX:EGAL,9.75757109,9.97332844,9.75757109,9.91029853,31993.51530018
2005-09-28,EGX:EGAL,10.30302538,10.40484302,10.30302538,10.3963583,55621.52659975
2005-09-29,EGX:EGAL,10.90908569,10.90908569,10.60605553,10.63999479,11030.25527497
2005-10-02,EGX:EGAL,10.18181331,10.90908569,10.18181331,10.50181304,14767.50706223
2005-10-03,EGX:EGAL,10.49090444,10.66666157,10.42423744,10.60484317,6987.75334174
2005-10-04,EGX:EGAL,10.30302538,10.30302538,10.07514706,10.12605588,3712.50177542
2005-10-05,EGX:EGAL,10.12726825,10.18302568,10.12726825,10.17211611,6187.50295903
2005-10-09,EGX:EGAL,10.48484347,10.59878305,10.48484347,10.55272198,11715.00560244
2005-10-12,EGX:EGAL,10.5454495,10.5454495,10.42423744,10.47999487,6187.50295903
2005-10-13,EGX:EGAL,10.4254498,10.5454495,10.30302538,10.43878325,12292.50587862
2005-10-16,EGX:EGAL,10.30423774,10.30423774,10.30302538,10.30302538,6187.50295903
2005-10-17,EGX:EGAL,10.19393428,10.42423744,10.18181331,10.3490856,6558.75313658
2005-10-18,EGX:EGAL,10.18423719,10.18423719,10.13938933,10.16484374,2862.75136905
2005-10-19,EGX:EGAL,10.18181331,10.30302538,10.18181331,10.19272191,4537.50216996
2005-10-20,EGX:EGAL,10.60605553,10.66666157,10.60605553,10.61696413,9611.25459637
2005-10-23,EGX:EGAL,10.65938908,10.66666157,10.65938908,10.66423769,7796.25372838
2005-10-24,EGX:EGAL,10.84847966,10.84847966,10.69090361,10.8145404,1056.00050501
2005-10-25,EGX:EGAL,10.4254498,10.78787363,10.4254498,10.70060082,14701.50703067
2005-10-26,EGX:EGAL,10.5454495,10.78787363,10.5454495,10.63272231,20031.00957938
2005-10-27,EGX:EGAL,10.5454495,10.5454495,10.5454495,10.5454495,1650.00078908
2005-10-30,EGX:EGAL,10.66666157,10.75757061,10.66666157,10.69575222,3613.50172808
2005-10-31,EGX:EGAL,10.66666157,10.77575266,10.66666157,10.68726737,1749.00083642
2005-11-06,EGX:EGAL,10.78787363,11.22060069,10.78787363,11.19999489,73631.28521252
2005-11-07,EGX:EGAL,11.25090371,11.25090371,11.25090371,11.25090371,71775.0343248
2005-11-08,EGX:EGAL,11.81332756,11.81332756,11.81332756,11.81332756,51075.77442585
2005-11-09,EGX:EGAL,12.39999407,12.40363043,12.38787286,12.39878195,87532.54186048
2005-11-10,EGX:EGAL,13.01817559,13.01817559,13.01817559,13.01817559,82681.5395406
2005-11-13,EGX:EGAL,13.66908437,13.66908437,13.57575108,13.66787225,209723.3502955
2005-11-14,EGX:EGAL,14.35029617,14.35029617,14.35029617,14.35029617,78309.03744955
2005-11-15,EGX:EGAL,14.78787172,15.06665946,14.78787172,15.04968977,73383.78509415
2005-11-16,EGX:EGAL,15.80120456,15.80120456,14.72726568,15.34181084,16582.50793021
2005-11-17,EGX:EGAL,14.57575061,14.57575061,14.57575061,14.57575061,13290.75635601
2005-11-20,EGX:EGAL,14.84847775,14.84847775,13.84726611,13.93817515,1815.00086798
2005-11-21,EGX:EGAL,13.24241791,13.33332696,13.24241791,13.24605427,54862.52623678
2005-11-22,EGX:EGAL,12.60605458,12.60605458,12.58423641,12.58666065,4125.00197269
2005-11-23,EGX:EGAL,11.95757028,12.58666065,11.95757028,12.58666065,742.50035508
2005-11-24,EGX:EGAL,11.95757028,11.99999426,11.95757028,11.95757028,37702.51803039
2005-11-27,EGX:EGAL,12.18181236,12.55514551,12.18181236,12.39999407,14924.25713719
2005-11-28,EGX:EGAL,12.24241839,13.01938771,12.24241839,12.96241804,15444.00738575
2005-11-29,EGX:EGAL,12.48484251,13.60969046,12.48484251,13.18423612,13398.0064073
2005-11-30,EGX:EGAL,13.83999338,13.84241762,13.83999338,13.84241762,16541.25791049
2005-12-01,EGX:EGAL,14.5345385,14.5345385,14.53332638,14.5345385,23347.51116543
2005-12-04,EGX:EGAL,15.26059876,15.26059876,14.66665965,15.03999281,27060.01294085
2005-12-05,EGX:EGAL,14.28847802,14.28847802,14.28847802,14.28847802,8580.0041032
