date,symbol,open,high,low,close,volume
2005-08-31,EGX:EXPA,1.58883105,1.60301748,1.58883105,1.59876119,20850.74015593
2005-09-01,EGX:EXPA,1.59166834,1.60585477,1.59166834,1.59876119,6644.25813313
2005-09-04,EGX:EXPA,1.60159848,1.6512499,1.60159848,1.62287776,73529.33193984
2005-09-05,EGX:EXPA,1.6186222,1.63138962,1.60727305,1.62287776,73618.65495507
2005-09-06,EGX:EXPA,1.63138962,1.64415705,1.61720319,1.62997061,89729.7785027
2005-09-07,EGX:EXPA,1.61011034,1.6186222,1.60869206,1.6143659,27511.48869186
2005-09-08,EGX:EXPA,1.61152861,1.67394747,1.61011034,1.65408719,126118.60070852
2005-09-11,EGX:EXPA,1.5831572,1.7009006,1.5831572,1.67962204,710831.18102657
2005-09-12,EGX:EXPA,1.63848247,1.7023196,1.63138962,1.67536575,342020.57372887
2005-09-13,EGX:EXPA,1.7377846,1.77324959,1.6186222,1.70515616,165573.2636372
2005-09-14,EGX:EXPA,1.69522602,1.75764488,1.69522602,1.70515616,241423.61977287
2005-09-15,EGX:EXPA,1.7023196,1.74487745,1.60301748,1.65834275,187428.54416444
2005-09-18,EGX:EXPA,1.6186222,1.6328079,1.61011034,1.62287776,216389.81410355
2005-09-19,EGX:EXPA,1.59592463,1.61720319,1.59592463,1.60443576,242880.27202129
2005-09-20,EGX:EXPA,1.58883105,1.62855233,1.5831572,1.60443576,176101.01163262
2005-09-21,EGX:EXPA,1.57464534,1.63138962,1.57464534,1.6186222,53259.87848305
2005-09-22,EGX:EXPA,1.64557533,1.65976103,1.64557533,1.65692375,41546.19568537
2005-09-25,EGX:EXPA,1.68671489,1.7023196,1.66969117,1.69380774,311511.95432587
2005-09-26,EGX:EXPA,1.7023196,1.72927274,1.67536575,1.69806331,562091.87026027
2005-09-27,EGX:EXPA,1.73494731,1.84417957,1.73494731,1.801621,902254.52527229
2005-09-28,EGX:EXPA,1.84417957,1.87964384,1.77466787,1.82857486,658621.19152258
2005-09-29,EGX:EXPA,1.83566771,1.84417957,1.7377846,1.820063,163318.20105261
