date,symbol,open,high,low,close,volume
2016-09-07,EGX:MFPC,3.83393263,3.99451185,2.87684727,3.17084342,2183533.39131366
2016-09-08,EGX:MFPC,3.05660031,3.05660031,2.85447817,2.88403739,998019.32067335
2016-09-14,EGX:MFPC,2.79615829,2.79615829,2.59563396,2.60442156,648827.71643886
2016-09-15,EGX:MFPC,2.38871808,2.75621317,2.35756089,2.57406351,962458.02922157
2016-09-18,EGX:MFPC,2.5964327,2.64037225,2.45662479,2.56287896,403703.89718503
2016-09-19,EGX:MFPC,2.55568868,2.55648758,2.36874553,2.454228,709561.044888
2016-09-20,EGX:MFPC,2.454228,2.51654246,2.42946211,2.47340166,360557.19826413
2016-09-21,EGX:MFPC,2.46860832,2.47659735,2.35756089,2.42546767,465438.59955749
2016-09-22,EGX:MFPC,2.37673455,2.47659735,2.37673455,2.44544023,287481.93621011
2016-09-25,EGX:MFPC,2.44544023,2.47340166,2.36794654,2.3991039,163499.32732949
2016-09-26,EGX:MFPC,2.3991039,2.41428288,2.30004,2.33039821,423318.30890799
2016-09-27,EGX:MFPC,2.33039821,2.33039821,2.1562375,2.1993783,510162.46240761
2016-09-28,EGX:MFPC,2.1993783,2.26888273,2.11709128,2.17541115,440980.04148049
2016-09-29,EGX:MFPC,2.17541115,2.24891017,2.1586342,2.21855188,271172.0584341
2016-10-03,EGX:MFPC,2.21855188,2.30882785,2.20497054,2.24891017,443383.33889645
2016-10-04,EGX:MFPC,2.24891017,2.24891017,2.17141664,2.19458473,261596.42029238
2016-10-05,EGX:MFPC,2.19458473,2.21295964,2.17061774,2.18260127,301125.6559153
2016-10-09,EGX:MFPC,2.18260127,2.20497054,2.1570364,2.17381327,187469.71561888
2016-10-10,EGX:MFPC,2.17381327,2.20097595,2.03879885,2.09711872,158605.11227929
2016-10-11,EGX:MFPC,2.09711872,2.09711872,1.95091959,1.98607137,250193.27474062
2016-10-12,EGX:MFPC,1.98607137,1.98607137,1.87742057,1.90937666,315270.06258215
2016-10-13,EGX:MFPC,1.90937666,1.97568556,1.88860512,1.93334381,509010.8823958
2016-10-16,EGX:MFPC,1.93334381,2.03320661,1.88780622,1.9565119,818235.14991592
2016-10-17,EGX:MFPC,1.9565119,2.02521751,1.89739313,1.93174593,311001.70623401
2016-10-18,EGX:MFPC,1.93174593,1.94532727,1.89499634,1.92136012,208686.32561915
2016-10-19,EGX:MFPC,1.92136012,1.96130524,1.91736569,1.94053394,276704.64936042
2016-10-20,EGX:MFPC,1.94053394,2.01243515,1.94053394,1.98527239,397708.17081917
2016-10-23,EGX:MFPC,1.98527239,2.11229794,1.97888117,2.03480425,419312.81321473
2016-10-24,EGX:MFPC,2.03480425,2.09711872,2.03480425,2.06676051,348715.95162092
2016-10-25,EGX:MFPC,2.06676051,2.12907481,2.05317917,2.08114059,222467.73423879
2016-10-26,EGX:MFPC,2.08114059,2.08513518,2.06995604,2.07634726,96244.55120475
2016-10-27,EGX:MFPC,2.07634726,2.13306941,2.07634726,2.10111315,156689.98465094
2016-10-30,EGX:MFPC,2.10111315,2.11709128,2.0907275,2.10830327,146726.31411394
2016-10-31,EGX:MFPC,2.10830327,2.14585184,2.09392303,2.11389559,135022.75638518
2016-11-01,EGX:MFPC,2.11389559,2.11389559,2.07634726,2.08034185,248353.25015652
2016-11-02,EGX:MFPC,2.08034185,2.08753181,2.07874397,2.08513518,90411.54810143
2016-11-03,EGX:MFPC,2.08513518,2.23692663,2.07794506,2.14025953,536986.76637845
2016-11-06,EGX:MFPC,2.14025953,2.19698152,2.08114059,2.14105827,435159.55555121
2016-11-07,EGX:MFPC,2.14105827,2.26009488,2.14105827,2.21216074,483788.77670226
2016-11-08,EGX:MFPC,2.21216074,2.25210586,2.1570364,2.20576952,288333.10404493
2016-11-09,EGX:MFPC,2.20576952,2.23692663,2.11309685,2.20017721,523630.94167622
2016-11-10,EGX:MFPC,2.20017721,2.31681687,2.20017721,2.29684431,376992.24778056
2016-11-13,EGX:MFPC,2.29684431,2.39670711,2.29684431,2.34557744,503741.15212434
2016-11-14,EGX:MFPC,2.34557744,2.43665223,2.33758833,2.39111479,436962.02861318
2016-11-15,EGX:MFPC,2.39111479,2.43665223,2.37673455,2.41987536,456914.40403526
2016-11-16,EGX:MFPC,2.41987536,2.77299004,2.41987536,2.64756237,1416693.75801196
2016-11-17,EGX:MFPC,2.64756237,2.79056598,2.617204,2.66833407,729801.31531304
2016-11-20,EGX:MFPC,2.66833407,2.69230106,2.52612937,2.62279664,327574.4446649
2016-11-21,EGX:MFPC,2.62279664,2.79615829,2.62279664,2.70907793,504279.39060813
2016-11-22,EGX:MFPC,2.70907793,2.78816943,2.64756237,2.70268688,385478.89178067
2016-11-23,EGX:MFPC,2.70268688,2.7721913,2.65635038,2.74822431,298509.56654064
2016-11-24,EGX:MFPC,2.74822431,2.74822431,2.60601945,2.64836151,176880.18637981
2016-11-27,EGX:MFPC,2.64836151,2.64836151,2.57246571,2.59882933,218950.40833314
2016-11-28,EGX:MFPC,2.59882933,2.63637782,2.59723144,2.61480746,200737.92010283
2016-11-29,EGX:MFPC,2.61480746,2.61480746,2.54849856,2.57486234,276717.16653446
2016-11-30,EGX:MFPC,2.57486234,2.63557908,2.57486234,2.6084164,220427.43487004
2016-12-01,EGX:MFPC,2.6084164,2.71626806,2.6084164,2.66114387,369732.28683652
2016-12-04,EGX:MFPC,2.66114387,2.74263199,2.64436668,2.70668131,252834.39846336
2016-12-05,EGX:MFPC,2.70668131,2.74422948,2.62838896,2.67073062,163411.7071112
2016-12-06,EGX:MFPC,2.67073062,2.67073062,2.60442156,2.62838896,50156.31638411
2016-12-07,EGX:MFPC,2.62838896,2.63637782,2.56607433,2.60761725,283526.50921301
2016-12-08,EGX:MFPC,2.60761725,2.60761725,2.48618425,2.53651502,137426.05380114
2016-12-12,EGX:MFPC,2.53651502,2.55888421,2.50056434,2.54690067,102866.13627268
2016-12-13,EGX:MFPC,2.54690067,2.55249315,2.50056434,2.51734137,262147.17595021
2016-12-14,EGX:MFPC,2.51734137,2.51734137,2.44464125,2.46621169,225997.57731848
2016-12-15,EGX:MFPC,2.46621169,2.51494466,2.46541279,2.49017869,36424.97646064
2016-12-18,EGX:MFPC,2.49017869,2.63637782,2.49017869,2.5964327,272749.22236332
2016-12-19,EGX:MFPC,2.5964327,2.5964327,2.56048201,2.58924258,81874.83540516
2016-12-20,EGX:MFPC,2.58924258,2.62758981,2.57805795,2.59882933,358241.52106646
2016-12-21,EGX:MFPC,2.59882933,2.63238339,2.58045457,2.60202502,198747.68943023
2016-12-22,EGX:MFPC,2.60202502,2.61640526,2.57086782,2.59962839,272911.94562586
2016-12-25,EGX:MFPC,2.59962839,2.60442156,2.5964327,2.59803051,121153.72754725
2016-12-26,EGX:MFPC,2.59803051,2.59803051,2.55648758,2.58205246,266503.15251663
2016-12-27,EGX:MFPC,2.58205246,2.70268688,2.55968327,2.64037225,290536.12667623
2016-12-28,EGX:MFPC,2.64037225,2.67632294,2.6084164,2.63478001,486855.48434242
2016-12-29,EGX:MFPC,2.63478001,2.63637782,2.61400863,2.63318213,207960.32952475
2017-01-02,EGX:MFPC,2.63318213,2.63318213,2.58205246,2.59563396,66904.29525158
2017-01-03,EGX:MFPC,2.59563396,2.63637782,2.56287896,2.61880189,122230.20451482
2017-01-04,EGX:MFPC,2.61880189,2.63637782,2.5964327,2.61081294,38527.8616996
2017-01-05,EGX:MFPC,2.61081294,2.64436668,2.58844384,2.63637782,96494.89468558
2017-01-08,EGX:MFPC,2.63637782,2.66034481,2.63637782,2.64436668,133095.1115828
2017-01-09,EGX:MFPC,2.64436668,2.66034481,2.5964327,2.63557908,45111.89524541
2017-01-10,EGX:MFPC,2.63557908,2.65235595,2.617204,2.63637782,175791.1922382
2017-01-11,EGX:MFPC,2.63637782,2.63717656,2.60522071,2.63238339,366840.81963294
2017-01-12,EGX:MFPC,2.63238339,2.63637782,2.57406351,2.62279664,653922.20627373
2017-01-15,EGX:MFPC,2.62279664,2.63557908,2.58604689,2.60921514,163161.36363038
2017-01-16,EGX:MFPC,2.60921514,2.6843118,2.60921514,2.65475257,405168.40654788
2017-01-17,EGX:MFPC,2.65475257,2.67632294,2.63637782,2.63717656,56715.31558184
2017-01-18,EGX:MFPC,2.63717656,2.63717656,2.53651502,2.58444901,224132.51838631
2017-01-19,EGX:MFPC,2.58444901,2.58444901,2.43665223,2.47340166,55839.11339893
2017-01-22,EGX:MFPC,2.47340166,2.62838896,2.47340166,2.53331933,82588.31432552
2017-01-23,EGX:MFPC,2.53331933,2.62998644,2.53331933,2.60681851,78507.71558801
2017-01-24,EGX:MFPC,2.60681851,2.67632294,2.55648758,2.63557908,338602.07499542
2017-01-26,EGX:MFPC,2.63557908,2.67632294,2.61480746,2.63797562,673048.44820908
2017-01-29,EGX:MFPC,2.63797562,2.67552419,2.62439412,2.63877445,502877.46711548
2017-01-30,EGX:MFPC,2.63877445,2.75621317,2.60442156,2.70588225,230128.24475216
2017-01-31,EGX:MFPC,2.70588225,2.86726052,2.70588225,2.79376167,965637.3914281
2017-02-01,EGX:MFPC,2.79376167,3.16525111,2.79376167,3.1237081,1196053.53118322
2017-02-02,EGX:MFPC,3.1237081,3.43607893,3.1237081,3.43607893,351607.41882449
2017-02-05,EGX:MFPC,3.43607893,3.77960719,3.43607893,3.77960719,112842.32398372
2017-02-06,EGX:MFPC,3.77960719,4.57291732,3.77960719,4.34123548,1762931.30917267
2017-02-07,EGX:MFPC,4.34123548,4.75986048,3.89544779,4.36680035,3000692.06426202
2017-02-08,EGX:MFPC,4.36680035,4.75986048,4.35961023,4.52897745,1306392.42035865
2017-02-09,EGX:MFPC,4.52897745,4.58889513,4.15429232,4.35481666,921652.04184643
2017-02-12,EGX:MFPC,4.35481666,4.63043805,4.27412768,4.4107399,892374.37176346
2017-02-13,EGX:MFPC,4.4107399,4.55374351,4.31407279,4.42352234,643320.15986062
2017-02-14,EGX:MFPC,4.42352234,4.63523155,4.39396303,4.4914292,826471.4504352
2017-02-15,EGX:MFPC,4.4914292,4.57291732,4.36200678,4.47225546,423330.82608203
2017-02-16,EGX:MFPC,4.47225546,4.54575464,4.39396303,4.42991372,300950.41547872
2017-02-19,EGX:MFPC,4.42991372,4.45787514,4.30448605,4.34123548,285616.87727794
2017-02-20,EGX:MFPC,4.34123548,4.36200678,4.19423744,4.2485628,363260.90785709
2017-02-21,EGX:MFPC,4.2485628,4.34922442,4.23418256,4.28371442,318562.07935505
2017-02-22,EGX:MFPC,4.28371442,4.71192617,4.2765243,4.52338514,1983621.60469757
2017-02-23,EGX:MFPC,4.52338514,4.97556388,4.52338514,4.89807051,3490163.6379791
2017-02-26,EGX:MFPC,4.89807051,5.38779774,4.89807051,5.2807445,2145981.8691893
2017-02-27,EGX:MFPC,5.2807445,5.31030413,4.79421296,5.06024761,1354082.8534566
2017-02-28,EGX:MFPC,5.06024761,5.18487654,4.79341422,4.95639038,678906.48566048
2017-03-01,EGX:MFPC,4.95639038,5.03308493,4.79740865,4.90286376,789883.75071202
2017-03-02,EGX:MFPC,4.90286376,5.03308493,4.80939234,4.95239595,430841.13050691
2017-03-05,EGX:MFPC,4.95239595,5.04506862,4.89807051,4.9619827,426547.73981069
2017-03-06,EGX:MFPC,4.9619827,4.9619827,4.85732633,4.88608689,373875.47144424
2017-03-07,EGX:MFPC,4.88608689,5.374216,4.88608689,5.31989056,2537481.52168391
2017-03-08,EGX:MFPC,5.31989056,5.85116079,5.25677783,5.65942407,2123150.54373768
2017-03-09,EGX:MFPC,5.65942407,5.99256683,5.60110459,5.82959067,1550389.69394875
2017-03-12,EGX:MFPC,5.82959067,6.35127384,5.76487982,6.12278768,1429035.69161684
2017-03-13,EGX:MFPC,6.12278768,6.39121896,6.07165801,6.30174165,2034153.43630293
2017-03-14,EGX:MFPC,6.30174165,6.30174165,6.03410952,6.15714056,669756.43143617
2017-03-15,EGX:MFPC,6.15714056,6.37444209,6.15714056,6.30493734,662471.43614405
2017-03-16,EGX:MFPC,6.30493734,6.87056038,6.30493734,6.62609641,1741226.52938478
2017-03-19,EGX:MFPC,6.62609641,7.1341984,6.62609641,6.95764042,1137473.15666921
2017-03-20,EGX:MFPC,6.95764042,6.95764042,6.51105431,6.61331373,765174.84915419
2017-03-21,EGX:MFPC,6.61331373,6.69719872,5.95342022,6.22105299,1448499.8972513
2017-03-22,EGX:MFPC,6.22105299,6.35127384,6.00055578,6.16832511,726509.29854013
2017-03-23,EGX:MFPC,6.16832511,6.47110919,6.16832511,6.37524115,975888.95696806
2017-03-26,EGX:MFPC,6.37524115,6.39121896,6.08124508,6.18829767,974674.79108603
2017-03-27,EGX:MFPC,6.18829767,6.18829767,5.75848844,5.96380635,848288.88478946
2017-03-28,EGX:MFPC,5.96380635,5.96380635,5.79284124,5.8751281,326610.6222637
2017-03-29,EGX:MFPC,5.8751281,6.11160313,5.82799255,5.9749909,359643.44455911
2017-03-30,EGX:MFPC,5.9749909,6.0556802,5.89669823,5.9470294,271760.36561405
2017-04-02,EGX:MFPC,5.9470294,5.97978408,5.87193242,5.91507322,128914.37545295
2017-04-03,EGX:MFPC,5.91507322,6.07165801,5.8319873,5.97898501,619662.70092227
2017-04-04,EGX:MFPC,5.97898501,6.38323009,5.91187753,6.25300861,1104202.50806702
2017-04-05,EGX:MFPC,6.25300861,6.67003572,6.25300861,6.47031013,1318358.83874228
2017-04-06,EGX:MFPC,6.47031013,6.54940186,6.23463417,6.41838132,1150904.08441569
2017-04-09,EGX:MFPC,6.41838132,6.41838132,5.91746985,6.09642382,642068.44245647
