feature,count,frequency
macro_year,22,1.0
interest_rate,22,1.0
mom_252,22,1.0
price_to_ma252,21,0.9545454545454546
gdp,21,0.9545454545454546
inflation_rate,21,0.9545454545454546
vol_60,21,0.9545454545454546
atr_14,20,0.9090909090909091
mom_126,20,0.9090909090909091
ma_60_slope,20,0.9090909090909091
mom60_x_vol20,20,0.9090909090909091
exchange_rate,20,0.9090909090909091
volume,19,0.8636363636363636
unemployment_rate,19,0.8636363636363636
realized_vol_20,16,0.7272727272727273
month,15,0.6818181818181818
low,11,0.5
mom_60,10,0.45454545454545453
quarter,6,0.2727272727272727
open,6,0.2727272727272727
ma_252,5,0.22727272727272727
ma_60,3,0.13636363636363635
price_to_ma60,3,0.13636363636363635
close,1,0.045454545454545456
q_3,1,0.045454545454545456
regime_post_2016,1,0.045454545454545456
