fold,ic,spearman_ic,n_preds
1,0.4865533260337212,0.4839322047184069,4938
2,0.3829719379259257,0.35724043691755564,5072
3,-0.007910131235438385,-0.15035475085231295,5288
4,0.05696860999466408,0.029481508260652878,5226
5,0.07199414059081909,0.0793633448014083,5290
6,0.3262730752060216,0.3081156678259032,3706
7,0.2211108741341362,0.0870952032587445,3052
8,0.20215631269053436,0.1251658579051962,3090
9,0.23679295882419737,0.15790947247436457,3259
10,-0.07754094102349585,-0.05376497338331944,3384
11,0.052163769763004866,-0.01790394500444087,3480
12,0.44342334959797297,0.4540486681147836,3528
13,-0.03035785936124143,0.09640032503089845,3630
14,-0.10250515925513351,-0.06735406423117692,3654
15,0.23124555367683536,0.13938781393405134,3653
16,0.22910483951159,0.10884849578182781,3652
17,-0.06715534038721346,-0.12172180430612253,3748
18,-0.0584020800060722,-0.0713484235029171,3780
19,0.20381800221386828,0.18186321232189095,3775
20,0.23505347339247082,0.18999698791881894,3679
