date,n_stocks,top_n,bottom_n,top_return,bottom_return,benchmark_return,active_return,long_short_spread,top_turnover,bottom_turnover,top_return_after_cost,active_after_cost,long_short_after_cost
2009-09-29,20,4,4,-0.050282948,0.004698172,-0.17874059,0.12845764,-0.05498112,1.0,1.0,-0.051282946,0.12745765,-0.05698112
2010-10-03,19,3,3,0.06514064,-0.3782082,-0.45005807,0.5151987,0.44334882,0.6666666666666667,1.0,0.06447398,0.514532,0.44168216
2011-12-11,20,4,4,0.568683,-0.085020155,0.21867439,0.35000864,0.6537032,1.0,0.75,0.56768304,0.34900865,0.6519532
2012-12-30,21,4,4,0.15911567,0.20596725,0.2319498,-0.072834134,-0.046851575,0.75,0.5,0.15836567,-0.07358414,-0.048101574
2014-01-15,22,4,4,0.69701254,0.08806115,0.31779632,0.37921622,0.6089514,0.5,1.0,0.6965125,0.3787162,0.6074514
2015-01-27,23,4,4,-0.35830218,-0.5859994,-0.5336892,0.17538702,0.22769725,1.0,0.5,-0.35930216,0.17438704,0.22619726
2016-02-09,21,4,4,0.5924553,0.40462193,0.58980495,0.0026503801,0.1878334,0.75,1.0,0.5917053,0.0019003749,0.18608339
2017-02-16,22,4,4,0.8999119,0.12142139,0.5451041,0.3548078,0.7784905,0.5,1.0,0.89941186,0.35430777,0.7769905
2018-02-20,25,5,5,0.20886235,-0.25799745,-0.13082172,0.33968407,0.46685982,0.8,0.8,0.20806235,0.33888406,0.46525982
2019-02-12,28,5,5,-0.49200997,-0.3015369,-0.3186159,-0.17339405,-0.19047308,1.0,1.0,-0.49300995,-0.17439404,-0.19247308
2020-02-05,28,5,5,0.09469555,-0.2321996,-0.0825931,0.17728865,0.32689515,0.8,0.6,0.093895555,0.17648865,0.32549515
2021-02-18,29,5,5,0.009319508,-0.05432555,-0.032469314,0.041788824,0.06364506,0.8,1.0,0.008519509,0.04098882,0.061845057
2022-03-01,29,5,5,0.30043334,0.30563864,0.33496067,-0.03452733,-0.0052053034,0.6,0.6,0.29983333,-0.03512734,-0.0064053033
2023-03-13,30,6,6,0.80085254,0.56189597,0.6872924,0.11356014,0.23895657,0.5,0.5,0.8003525,0.11306012,0.23795657
2024-03-26,29,5,5,0.08378263,-0.011667532,0.18335746,-0.099574834,0.09545016,0.8,0.8,0.08298263,-0.10037483,0.093850166
