fold,rmse,mae,directional_accuracy,information_coefficient
1,0.48003675999143164,0.4019495398822802,0.7172705045565682,-0.12878801161627496
2,0.5078926119149287,0.4064624983416085,0.4745148219236511,-0.30710499967388116
3,0.7368283943617702,0.632585021851304,0.3520757758968158,-0.18332647903351396
4,0.9301732081819939,0.8729000423544974,0.11098108055393018,0.3086655942485848
5,0.6423603202707516,0.5133041705717019,0.3499337246733573,0.4194742163847401
6,0.6136953495069095,0.5235324006738312,0.41899441340782123,-0.01672741157895837
7,1.2373493838853373,1.1197265476708862,0.09028831562974203,0.18902735970396495
8,0.8046858143846431,0.6383126971464939,0.4901106268856856,0.21500760635835292
9,0.9608229886327507,0.816425816485254,0.40209904886848147,0.06735389839678943
10,0.9149769053680691,0.8520352396239929,0.18022690437601296,0.11178110544488802
11,0.48877005601341345,0.3745553524432924,0.5038992201559688,-0.07944778691077135
12,0.4952621645926649,0.40542625833492413,0.6646706586826348,0.023455538063709164
13,0.3273667602376775,0.2640576396109442,0.6670467502850627,0.24539114988332747
14,0.6708550556822421,0.5794766626654629,0.3233957978421351,-0.05170428820866965
15,0.44305135824785624,0.35884645659697906,0.4127682993946065,-0.24531986679522738
16,0.3721280900085221,0.27503054132313487,0.5737479361585031,0.15374450740962778
17,0.5389954861984323,0.43664439094480423,0.5213322323148912,0.19516778551119962
18,0.7441856047279662,0.6680319292032789,0.5777899945024739,0.15748303955444848
19,0.7727477876787862,0.6621016476060017,0.6412234042553191,0.07318145039002073
20,0.5337153033787185,0.4050076926528597,0.7800531914893617,0.2209999511011799
21,0.46469496619139455,0.3899932102283029,0.641377454936777,0.1819221502747335
22,0.6592426955494982,0.5245254946293987,0.5303444505194095,0.012403583533107589
