fold,V1 Spearman IC,V2 Spearman IC,V3 Spearman IC
1,0.0145079675481196,-0.0196497388995097,0.1881694804823672
2,0.3993973481086466,0.3978399587924492,0.2269260917235345
3,0.3139380481133506,0.3358171124489099,0.3849581226617956
4,0.1860569632607984,0.2597586866179897,0.3326550504380647
5,0.3528917808070175,0.440609581396559,0.2627661257095718
6,0.0959937486723495,-0.0226994848496964,0.0056231411587122
7,0.1773277327242992,0.2248852728163176,0.1519312361076757
8,0.215434756016527,0.2464477460623797,0.263312305725533
9,0.1301307590106657,0.1162020547005362,0.3396831102433786
10,0.0507764422000212,0.0724205520476282,-0.0829523379002956
11,0.0845576130005832,0.0808289690355738,0.0710805366496295
12,0.1171808421491272,0.1453116871825397,-0.0719772039119525
13,-0.0871111578394543,-0.0735768588618728,-0.0998275336960881
14,0.2043302647049245,0.2009632924125511,0.11539198166596
15,0.0572428391159548,0.0602667846792931,0.0043159653786473
