fold,n_features,ic,spearman_ic,sign_hit_rate,n_preds
1,7,-0.006741676201333279,0.014507967548119687,0.7145252567595892,4771
2,6,0.39039527363843,0.3993973481086466,0.5946381777867366,4961
3,10,0.3354680976400688,0.31393804811335063,0.6618265189147879,5234
4,14,0.2652857598264181,0.1860569632607984,0.5400749063670413,5340
5,14,0.4030490896425991,0.3528917808070175,0.4377495462794918,5510
6,15,0.12233714153996639,0.09599374867234957,0.4195391705069124,5425
7,12,0.22538328240956393,0.17732773272429928,0.11004001455074573,5498
8,14,0.2440894341650308,0.21543475601652703,0.5918055083304998,5882
9,13,0.1526391636483893,0.13013075901066573,0.295,6200
10,12,0.0742358058669952,0.050776442200021255,0.6869200838072433,6682
11,14,0.09349350540084435,0.08455761300058323,0.4876482903000698,7165
12,14,0.15841554809036731,0.11718084214912726,0.49308881894074175,7307
13,15,-0.0501775928308656,-0.08711115783945439,0.7122253673001753,7419
14,13,0.2286264592291893,0.2043302647049245,0.6246349880541545,7534
15,13,0.08418898347227635,0.05724283911595486,0.7258042436687201,7305
