fold,n_features,ic,spearman_ic,sign_hit_rate,n_preds
1,7,-0.023579223679322536,-0.01964973889950971,0.7145252567595892,4771
2,6,0.3720901203991145,0.39783995879244927,0.6407982261640798,4961
3,10,0.37192944966820185,0.3358171124489099,0.6696599159342759,5234
4,14,0.2955458004079183,0.2597586866179897,0.37621722846441946,5340
5,14,0.45723989617740085,0.44060958139655904,0.43901996370235935,5510
6,15,0.009338339905153606,-0.02269948484969644,0.42672811059907834,5425
7,12,0.2644154656278826,0.2248852728163176,0.15169152419061477,5498
8,14,0.32570531544416526,0.24644774606237976,0.5986059163549813,5882
9,13,0.15322080154581272,0.11620205470053627,0.2785483870967742,6200
10,12,0.09200425681676289,0.07242055204762822,0.7563603711463633,6682
11,14,0.09893767296999187,0.08082896903557386,0.4695045359385904,7165
12,14,0.19955188170392743,0.1453116871825397,0.4295880662378541,7307
13,15,-0.00950823281733637,-0.07357685886187289,0.7722064968324572,7419
14,13,0.2568787572140996,0.20096329241255115,0.7196708255906556,7534
15,13,0.07155791725694867,0.06026678467929319,0.7364818617385352,7305
