number,state,value,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,avg_spearman_ic,std_spearman_ic,spearman_icir,negative_spearman_folds,robust_score
0,TrialState.COMPLETE,0.10049462643508082,393,4,0.032370185800021364,0.8095304694689628,0.5624074561769746,12,0.2904180608409973,8.774342449911384,18.36759548234931,0.14308720435261935,0.14370364500348745,0.9957103339247022,2.0,0.10049462643508082
1,TrialState.COMPLETE,0.0759067640893957,584,2,0.055983636146553994,0.8913549242801475,0.5849356442713105,13,0.9170225492671691,0.10809283058205287,13.858661269884236,0.12882985872932234,0.17169237855970654,0.7503528101250072,3.0,0.0759067640893957
2,TrialState.COMPLETE,0.07389310415837252,426,2,0.024547323446662706,0.6488228512282146,0.6168578594140872,18,2.28034992108518,4.655655245928305,4.17752803781031,0.13303343122228928,0.1698946415890004,0.7830348854916585,5.0,0.07389310415837252
3,TrialState.COMPLETE,0.0598275617118835,473,3,0.0066773119049434344,0.8126406981655034,0.5682096494749166,9,4.7444276862666666,19.105557672487702,39.457634372587805,0.11989154169386902,0.18692258659460875,0.6413967615047274,4.0,0.0598275617118835
4,TrialState.COMPLETE,0.07702476357424398,353,2,0.028999083794930786,0.7540533728088604,0.5488152939379115,21,0.17194260557609198,12.297481416023247,5.1953050243870615,0.13734216842712058,0.17460295274483972,0.7865970550213369,5.0,0.07702476357424398
5,TrialState.COMPLETE,0.07322181850151374,558,2,0.019870979328434284,0.7913485977701479,0.5739417822102109,35,3.8756641168055728,15.572596889511566,54.27465767602772,0.13202295933370742,0.18187122999544134,0.7259144799153588,4.0,0.07322181850151374
6,TrialState.COMPLETE,0.09906706339857593,521,4,0.007356034415512511,0.6685940018467008,0.5180909155642153,17,1.9433864484474102,0.0835656376412732,42.53213683141519,0.14779063815098153,0.1548942990096224,0.9541386551728442,3.0,0.09906706339857593
7,TrialState.COMPLETE,0.08283571176454535,383,2,0.020933764470835323,0.6493234787411669,0.8208787923016159,10,4.9344346830025865,4.207667350536442,4.162789387371353,0.14032127300899386,0.17660891164446066,0.7945311009643778,4.0,0.08283571176454535
8,TrialState.COMPLETE,0.08960795758578136,183,4,0.03054981567491131,0.8551525088143455,0.8085081386743783,10,1.7923286427213632,0.024758031612116232,48.28068938627619,0.14074949733185305,0.15123282565095345,0.930680867239127,4.0,0.08960795758578136
9,TrialState.COMPLETE,0.08189525479549124,535,2,0.006945597316003662,0.7088438126004817,0.6300733288106988,28,3.1877873567760657,10.344170593387867,11.416858923532859,0.1414306412073345,0.1848082123140397,0.7652833141798112,4.0,0.08189525479549124
10,TrialState.COMPLETE,0.08498492946890546,248,4,0.03458886402068799,0.7964470191493236,0.8083868719818244,21,2.6136641469099704,0.28363428860414935,2.196610026569751,0.1379151479543122,0.15838754060829363,0.8707449299650946,4.0,0.08498492946890546
11,TrialState.COMPLETE,0.0871203639317002,241,2,0.025975365165479485,0.7100245933767143,0.7034282764658811,33,1.2464611457443748,0.24800278226052944,32.46895013033853,0.14054947181935054,0.17371643155060137,0.8090741363082299,3.0,0.0871203639317002
12,TrialState.COMPLETE,0.06568730017954275,310,2,0.01169237412814108,0.6564274505389015,0.8718790609370293,30,3.1670187825521174,9.144728273583494,38.77580977840399,0.12662254831982067,0.19040765922777836,0.6650076411492792,4.0,0.06568730017954275
13,TrialState.COMPLETE,0.10118974657667726,286,4,0.020772725983761554,0.8826040543074218,0.8584365199693973,16,0.5502596226383838,0.05949904679756128,9.666790259627907,0.15243063494273595,0.1516302201309014,1.0052787288123934,4.0,0.10118974657667726
14,TrialState.COMPLETE,0.08925875532808089,647,4,0.00609682010718172,0.7787615559021479,0.6669644012595116,14,0.599326836668414,0.14034472647747856,64.80789383676074,0.14222786120525896,0.15854309017537896,0.8970927780449325,4.0,0.08925875532808089
15,TrialState.COMPLETE,0.09087426155529968,364,3,0.030280999725935096,0.7272703608327529,0.8887128330883842,34,1.2589114791268208,0.4893511265113172,6.068133099066805,0.1412217034953483,0.16138976776019445,0.8750350499616961,3.0,0.09087426155529968
16,TrialState.COMPLETE,0.0756332790207693,342,2,0.024418308953735802,0.7759376581301015,0.5205915004999957,15,4.541329429833269,0.06516538011099594,3.4131884959770296,0.1330481839677949,0.16299295312143566,0.8162818172186203,5.0,0.0756332790207693
