fold,n_features,ic,global_spearman_ic,date_spearman_ic,date_spearman_std,n_dates,sign_hit_rate,n_preds
1,7,0.018239526137061538,0.10515759842509728,0.18816948048236729,0.2456105029557992,252,0.7145252567595892,4771
2,7,0.2795859577391669,0.21838390436449118,0.2269260917235345,0.30630075985959093,252,0.3190888933682725,4961
3,11,0.2657413694148885,0.38059549501525036,0.38495812266179563,0.3321978487155348,252,0.626671761559037,5234
4,15,0.4427596399269642,0.3759428321597824,0.3326550504380647,0.21222497191419237,252,0.10692883895131086,5340
5,15,0.21971476125767467,0.19146385387663414,0.2627661257095718,0.3019193174987412,252,0.6292196007259528,5510
6,16,0.43897705410098914,0.24338747404330416,0.005623141158712293,0.2980673044605987,252,0.4363133640552995,5425
7,13,0.10036996822636976,0.14726032863617888,0.15193123610767575,0.12181567044546136,252,0.9410694798108403,5498
8,15,0.40503104244281773,0.10307033476544715,0.263312305725533,0.0939636339046195,245,0.5936756205372322,5882
9,14,0.08629922467102162,0.03809081989302229,0.33968311024337866,6.798699777552591e-17,3,0.7493548387096775,6200
10,13,-0.171226011358916,-0.14350833363565596,-0.08295233790029562,0.15804399954663836,239,0.14860820113738402,6682
11,14,0.11931023375865638,0.11063694604819999,0.07108053664962959,0.1539993400989229,141,0.6337752965806002,7165
12,14,0.17417090488432022,0.13075295770015744,-0.07197720391195252,0.1707756862118749,252,0.5151224852880799,7307
13,15,-0.014557536227714489,-0.04833530001235066,-0.0998275336960881,0.23856115789172935,231,0.9574066585793234,7419
14,13,0.2611006447053414,0.25721061175687776,0.11539198166596001,0.15286818493562893,125,0.7352004247411733,7534
15,13,0.053337983365248434,0.0453376588462733,0.0043159653786473415,0.16867802836728296,252,0.3917864476386037,7305
