number,state,value,stability_threshold,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,early_stopping_rounds,avg_date_spearman_ic,std_date_spearman_ic,date_spearman_icir,negative_date_spearman_folds,robust_score
0,TrialState.COMPLETE,0.01258420139372999,0.5,658,5,0.018256985333647203,0.8332290311184182,0.46029224714790123,39,4.99465584480253,0.00892622738184373,2.310201887845293,50,0.056969909049296726,0.14192853827783367,0.40139854704749156,6.0,0.01258420139372999
1,TrialState.COMPLETE,-0.00560268579250163,0.5,1385,2,0.01465982870846511,0.786965827544817,0.4732252063599989,26,1.0231447421237492,0.0019554371852085,79.02619549708231,20,0.04603770722063775,0.17820196506569688,0.25834567651184565,6.0,-0.00560268579250163
2,TrialState.COMPLETE,0.005090623455936503,0.7,859,4,0.008789799968685393,0.7580272084711244,0.7233551396716398,11,5.817507766587351,2.953681335681259,75.68292060167619,50,0.03839071757792102,0.09983380394325592,0.38454627652715456,5.0,0.005090623455936503
3,TrialState.COMPLETE,-0.023184989389870972,0.7,957,3,0.01575247354641578,0.6063696899899051,0.8510984903770198,7,5.921321619603104,2.8670381406027654,2.4970737145052717,30,0.026573543605951353,0.15545933164577827,0.1709356609515116,7.0,-0.023184989389870972
4,TrialState.COMPLETE,-0.03133078692779935,0.65,931,2,0.008773636028746229,0.6800733288106988,0.814803089169032,27,5.323276455457959,0.13006590833121745,1.7345566642360934,80,0.026156784088257334,0.18077118841361675,0.14469553648344025,8.0,-0.03133078692779935
5,TrialState.COMPLETE,-0.015721939635590994,0.5,1237,3,0.014451611393326994,0.9130265895704373,0.5746461145744375,19,4.533306831258292,0.010576869105669786,1.4254757044027435,50,0.034323418059429386,0.13022678847510188,0.2635664939705681,9.0,-0.015721939635590994
6,TrialState.COMPLETE,0.04091311300080482,0.65,1408,5,0.00893061129690232,0.5940207698110708,0.5639675812709708,20,4.9080885955349585,7.138306457394989,1.0325337616482033,20,0.07137682066669772,0.11231853832946449,0.6354856618355178,3.0,0.04091311300080482
7,TrialState.COMPLETE,0.008808380915227565,0.5,1572,5,0.007555139935693489,0.7488994023569542,0.6004391549083848,15,0.22132168412719677,0.5359119432621763,10.124137770478635,50,0.05494211628917383,0.15066867686973132,0.3646551986162126,6.0,0.008808380915227565
8,TrialState.COMPLETE,0.038693480669415206,0.55,837,4,0.010127097523197898,0.8029223322374317,0.7667648553804474,24,0.5417386203264498,5.492253282928626,4.380867619725787,80,0.07292719860168566,0.10450192299468561,0.6978550873690079,5.0,0.038693480669415206
9,TrialState.COMPLETE,0.024211770234709887,0.7,987,5,0.005661194707143895,0.6864265404201034,0.5067367606202945,38,5.264036120285886,0.014283542913498086,20.89142634385645,20,0.0623259607396475,0.12390428585802139,0.5030169885411805,5.0,0.024211770234709887
10,TrialState.COMPLETE,0.029503700177453802,0.55,1326,5,0.037593604876688315,0.8619502183430495,0.7710158230771438,8,0.9697722845676826,10.542316635139331,16.325185294676917,50,0.06571344546828732,0.12771539312083424,0.5145303464408119,4.0,0.029503700177453802
11,TrialState.COMPLETE,-0.00042299042720767704,0.7,837,3,0.026356873260035135,0.8098531596188858,0.874611705247089,28,3.4098516200128297,0.0026265960939012793,5.437904873657086,50,0.040692604446742005,0.13891130770308174,0.29293946705707413,5.0,-0.00042299042720767704
12,TrialState.COMPLETE,-0.0030320469135407535,0.45,795,4,0.00812909140869994,0.5597263865725816,0.7727361479535839,11,5.642751506117486,18.657519645423207,67.56608892518739,50,0.04102348602631422,0.1136109980326082,0.3610872779635279,8.0,-0.0030320469135407535
13,TrialState.COMPLETE,0.008899624510865314,0.45,917,2,0.016323785199682236,0.9244619096643123,0.7980148983374864,25,0.5830589626246112,0.566841875698886,95.52294429449873,50,0.05890402275723618,0.18335532456518763,0.32125613421329496,5.0,0.008899624510865314
14,TrialState.COMPLETE,0.003890490171335848,0.7,1467,5,0.014553136028124409,0.7506065178748799,0.8491475894833875,28,4.21180126354622,3.6547718792731194,60.257440920984266,80,0.04388164497896155,0.11995577403812849,0.36581519589889494,6.0,0.003890490171335848
15,TrialState.COMPLETE,-0.002387095836108428,0.65,637,5,0.009934744728822427,0.600824205060754,0.7111216300274021,32,1.294926164981059,0.6148316115661007,1.4814770564945425,80,0.03475359521774839,0.10570345526928407,0.3287839089953315,6.0,-0.002387095836108428
16,TrialState.COMPLETE,0.042549389857230335,0.5,1039,2,0.004264493684884854,0.93505936587117,0.8679900602561028,30,2.4537176664856193,0.005968424214950642,2.055294619639016,50,0.08526080461237492,0.14689040710905624,0.5804382075752198,5.0,0.042549389857230335
17,TrialState.COMPLETE,0.011732951719275842,0.5,847,3,0.02712370287111172,0.5557573954519024,0.5080363202534581,6,0.24437281391382082,6.760841635746449,25.545577128619282,50,0.062329647450088524,0.15965014532073007,0.39041397253269655,7.0,0.011732951719275842
18,TrialState.COMPLETE,0.04143010380874303,0.65,974,4,0.01425460512829962,0.8925959364753289,0.7793468158094725,10,0.42341248440257906,0.7519500713875511,1.1298547638502785,30,0.07747096111539117,0.11353761986657403,0.6823373715816194,5.0,0.04143010380874303
19,TrialState.COMPLETE,-0.035484309697251304,0.7,1506,2,0.004765879931055976,0.5903112005509707,0.4591109128257749,8,4.098040640498141,0.002083148407940255,4.344614632832499,20,0.021141543919247885,0.18979593474916262,0.11139092071275863,7.0,-0.035484309697251304
20,TrialState.COMPLETE,-0.06766446193260953,0.6,882,2,0.02663280003481459,0.8727338957069055,0.9452525710003366,19,2.232108514756699,2.992919039089855,4.804045151253054,20,-0.009353665156074064,0.18488731721601065,-0.05059116707905839,8.0,-0.06766446193260953
21,TrialState.COMPLETE,0.010147449250491838,0.55,1496,3,0.004111004193160347,0.9121527905677054,0.4956433383930668,16,5.700371802304829,18.029490848139364,14.024125070550067,20,0.05672502664664536,0.1528878869807676,0.37102368125331625,6.0,0.010147449250491838
22,TrialState.COMPLETE,0.006598863614627831,0.55,657,4,0.012200544669387518,0.9050816731033199,0.6254575062760394,9,0.8579500923170151,2.566701916941714,17.235985760824935,50,0.04768236614074618,0.12541751263059175,0.3801890592519655,6.0,0.006598863614627831
23,TrialState.COMPLETE,0.02160459142754313,0.65,971,5,0.043762935002189335,0.9444004255291483,0.8266890926294708,18,0.5010043001920126,3.015650277479704,13.08604771379997,30,0.059473454581945175,0.12267764910534357,0.48479454094262264,5.0,0.02160459142754313
24,TrialState.COMPLETE,0.01842136019278677,0.7,1346,4,0.045444014944782486,0.6999482318094816,0.5928560431409303,36,1.3415750311167158,20.533553039231737,1.0575695778888723,20,0.0495845415441146,0.10248257342330583,0.48383388402343197,4.0,0.01842136019278677
25,TrialState.COMPLETE,0.06604750764948093,0.5,902,2,0.0049443926497692095,0.8957354091487616,0.8405899059985489,37,2.5981923638252975,0.0024933486634320804,2.7421184815024877,50,0.10947018298155041,0.16378004332701407,0.6683975700444468,4.0,0.06604750764948093
26,TrialState.COMPLETE,0.08269066303886931,0.5,813,2,0.0058823995108383655,0.8889064217014964,0.9182701955574355,35,2.357739640914011,0.0044241786624371945,12.735177839476084,50,0.12732993900579112,0.16986304650127573,0.749603528421556,4.0,0.08269066303886931
27,TrialState.COMPLETE,0.06166166574746649,0.5,730,2,0.004328558389772652,0.8666539165838161,0.8256677322788158,35,3.4589796221094624,0.021167048253399136,13.71072600357532,50,0.10241838556448463,0.15045026575175738,0.6807457936529986,4.0,0.06166166574746649
28,TrialState.COMPLETE,0.01598230514771532,0.55,651,3,0.004700156450131869,0.8285771239593809,0.7375417274583703,39,2.901785212588474,0.0022116971054367907,9.115113821204021,50,0.057039263487016933,0.1386181250298414,0.41148488680493733,5.0,0.01598230514771532
29,TrialState.COMPLETE,0.036268687962962606,0.45,737,2,0.005707745135057745,0.8432548922409996,0.788523369428222,38,4.399090882701076,1.1309354104629046,9.219255870073178,50,0.08440660647078282,0.18735625920576776,0.4505139397455709,4.0,0.036268687962962606
30,TrialState.COMPLETE,0.06803362990465885,0.5,721,2,0.006039747296053022,0.7574147336426877,0.8370064576165136,33,2.4911560082870814,0.00971656511984137,15.11038573167083,20,0.11159581209316431,0.16447757760919393,0.6784864764869102,4.0,0.06803362990465885
31,TrialState.COMPLETE,0.02873217199642689,0.5,601,3,0.00780875420233828,0.6775355498597594,0.8741513737504458,27,2.588085813642227,0.013660984751128863,2.974845777985082,20,0.06883209836562695,0.13383296517933363,0.5143134822828833,5.0,0.02873217199642689
32,TrialState.COMPLETE,-0.07671708550582976,0.65,752,2,0.009625400499317661,0.8153643999507958,0.8960323208201123,34,2.392562105313403,0.0011847459678103185,16.727228758567765,20,-0.013149355860949017,0.19783864822440372,-0.06646505108564031,9.0,-0.07671708550582976
33,TrialState.COMPLETE,0.05106337889587297,0.5,643,2,0.005505953105829757,0.7762481636979487,0.8414768316362552,38,2.3810500208976815,2.2118238649772497,54.29760054798892,20,0.0908318048840923,0.1455087966077633,0.6242358331705574,4.0,0.05106337889587297
34,TrialState.COMPLETE,0.06603315986904558,0.5,880,2,0.006358049476497041,0.9085519307672143,0.8357885899988408,30,3.1883154981980115,0.004319336316489121,48.47080274821382,50,0.10993008125493033,0.16615127359609042,0.6616264737287997,4.0,0.06603315986904558
35,TrialState.COMPLETE,0.01279549911245317,0.7,1069,3,0.006520969950934859,0.8806776444319434,0.8727017962384125,32,2.6440940917981512,0.0010699483041645694,83.61354289991918,80,0.05248156724754824,0.13176367400880867,0.39830072774109,5.0,0.01279549911245317
36,TrialState.COMPLETE,0.014240924277136548,0.45,671,2,0.005840563465947093,0.6410016193793141,0.7549534811820403,32,1.5412099637171055,0.0019623122712240145,19.196758248015037,20,0.06623954832070647,0.19332645355118294,0.34263054591838166,5.0,0.014240924277136548
37,TrialState.COMPLETE,0.05648740079982089,0.5,916,2,0.00745940033298478,0.9036698145213484,0.9042775467561082,25,4.009309896843938,0.00136432504597625,56.0976246703956,50,0.09994966871359881,0.16397800623555628,0.6095309426437346,4.0,0.05648740079982089
38,TrialState.COMPLETE,-0.06846734765089987,0.6,697,2,0.005779252399655829,0.7654644579302025,0.9237243170217196,40,0.5334766095258914,0.004932860121603642,42.38411427071871,30,-0.012563281389699013,0.17285366463933766,-0.07268160276446861,8.0,-0.06846734765089987
39,TrialState.COMPLETE,0.06579789012877592,0.5,801,2,0.007179362768144213,0.7730964291277962,0.8247312563604163,33,0.39076531613508925,0.025593661652613026,11.881515121155273,20,0.10880265517547788,0.1616904919001764,0.6729069464557624,4.0,0.06579789012877592
40,TrialState.COMPLETE,0.03304995085268167,0.7,746,2,0.0061135261509582045,0.9328077648615067,0.7672565896524949,36,0.8714325416536945,0.006301816472534454,61.55682709013979,50,0.08132911667125926,0.1747291624262213,0.46545817276266155,5.0,0.03304995085268167
41,TrialState.COMPLETE,-0.027634871752699255,0.6,730,2,0.007692905942639524,0.7134940993011019,0.8247014791091762,31,0.45328343364216683,0.054847766129476984,4.977372744463975,80,0.02723163739046004,0.18099921238246314,0.1504516899936438,7.0,-0.027634871752699255
42,TrialState.COMPLETE,-0.021765834138493517,0.6,946,3,0.00414320634276559,0.8917399996749394,0.933808664511251,37,2.172977822489122,0.007539533645188207,3.7498555606952224,80,0.02372799166689169,0.16080246236025936,0.14755987762010675,5.0,-0.021765834138493517
43,TrialState.COMPLETE,-0.02113272541663534,0.55,859,3,0.006026812618043172,0.8322506674056247,0.8965107305744632,32,0.07203599915810643,0.08769608011040977,6.114698478553152,20,0.02774137332116997,0.16437049368902654,0.16877343797271807,6.0,-0.02113272541663534
44,TrialState.COMPLETE,0.0376935712938309,0.5,929,2,0.00656452664167217,0.7492827466570583,0.6839311625322264,30,0.9392685838837458,0.002775142863300826,9.758480912443819,20,0.08810607754185057,0.18539586457343168,0.475232161971733,5.0,0.0376935712938309
45,TrialState.COMPLETE,-0.020658494858635006,0.45,716,2,0.006800362753645805,0.807647270100875,0.9439133837851729,19,1.6934508699920618,0.015521136241367424,4.1971726286288185,50,0.031998452705310966,0.19661807115306318,0.1627442102226749,5.0,-0.020658494858635006
46,TrialState.COMPLETE,0.0710244872983103,0.5,899,2,0.010916886603750243,0.6571026913266675,0.9205982223161809,26,0.5308240734364047,0.037217495676843446,10.52339695652072,20,0.11694215988182587,0.17625502958424444,0.6634826827788829,4.0,0.0710244872983103
47,TrialState.COMPLETE,0.04622277967522577,0.5,1060,2,0.015246584510248545,0.5657916146700269,0.8714995957877196,30,1.0428001195402068,0.020377804932554623,20.41403606272637,80,0.08725811683498515,0.1385100191321302,0.6299769315008625,5.0,0.04622277967522577
48,TrialState.COMPLETE,0.02907875114850388,0.45,1155,3,0.007093202216028823,0.5715214815810173,0.9245505621518002,23,0.008032795329138254,0.013614880625567887,5.353377126810934,30,0.06858596258065172,0.13086939049407253,0.5240794835348315,5.0,0.02907875114850388
49,TrialState.COMPLETE,-0.044050088859983405,0.6,712,2,0.006854810107318772,0.8264624896748136,0.7492847899099305,19,3.1663820087034487,0.01806282295684794,23.84955144759237,20,0.020036598205583407,0.2137667686611674,0.09373111794257678,8.0,-0.044050088859983405
50,TrialState.COMPLETE,0.025983310693349682,0.5,802,3,0.010237365232588209,0.870499638955381,0.8948647296430299,26,1.8157550928475876,0.0035935378216936957,11.121428267254906,50,0.06939289432772648,0.15038125150521733,0.4614464478327537,5.0,0.025983310693349682
51,TrialState.COMPLETE,0.0506239779223835,0.5,1291,2,0.013118787960853712,0.7247627974433027,0.8515352683491174,36,0.5589828527924443,0.2868026516919168,7.778269766992772,20,0.09480281065358441,0.1675608303226712,0.5657814566269637,4.0,0.0506239779223835
52,TrialState.COMPLETE,0.03775625092291231,0.5,774,2,0.005458566326940008,0.9429015124398834,0.6940335169295208,37,1.2986468645886886,0.006567461959194496,3.2076076073050617,30,0.0828372294173267,0.17207155913873862,0.4814115117684052,4.0,0.03775625092291231
53,TrialState.COMPLETE,0.05472145380646429,0.5,979,2,0.00958124943728971,0.6567314464223492,0.8431124083696583,13,1.7449805613252511,1.1636649781319799,8.479096543506904,20,0.10160287790765335,0.16774045383927863,0.6057148146564851,5.0,0.05472145380646429
54,TrialState.COMPLETE,-0.004035974107443493,0.5,734,2,0.008262334077736327,0.6874034137782621,0.9439110309447251,31,1.2583792926809136,0.007837843746869742,16.315812954677504,20,0.05097494671264714,0.2083879374337865,0.24461563054168622,5.0,-0.004035974107443493
55,TrialState.COMPLETE,-0.05350063683215234,0.55,1074,2,0.00882328921311579,0.8880893467914303,0.8106614181012242,35,4.1990025321443785,0.07647391479000656,3.9382459286177536,30,0.0074994366142362694,0.19833370056527636,0.03781221543722483,8.0,-0.05350063683215234
56,TrialState.COMPLETE,0.05374399863048037,0.5,1137,2,0.010690586438254133,0.741440467199898,0.8743262127940455,39,2.102228128459489,0.039536533012840304,36.09656138499064,50,0.09650144943563285,0.1604539206924291,0.6014278056851883,4.0,0.05374399863048037
57,TrialState.COMPLETE,-0.005896872844680986,0.7,1023,2,0.005167757033936494,0.8729636072556457,0.7337930650128746,26,4.109843800237493,0.0036460092368997233,22.086946806842175,30,0.05120721839575288,0.19218712286883596,0.2664445860438882,7.0,-0.005896872844680986
58,TrialState.COMPLETE,-0.004882552293252285,0.55,990,2,0.00492885499321598,0.9214036646195157,0.7359189123202934,30,4.125988409251981,0.030914152579611633,30.12804720115611,50,0.05232562191365987,0.19270753770122742,0.2715286726084643,7.0,-0.004882552293252285
59,TrialState.COMPLETE,-0.07641994625214196,0.65,1107,2,0.004333320525456014,0.8680172861184346,0.8671340798241451,36,1.6629625367831844,0.01494465639334629,7.508034240881657,50,-0.011195515974638104,0.20612215138751933,-0.05431495789887235,9.0,-0.07641994625214196
60,TrialState.COMPLETE,-0.026853567213855133,0.7,879,3,0.019761573881452027,0.5863477556703772,0.8644717042175509,29,1.231200467255667,1.4262736133222769,4.786956660889591,20,0.022237047299649513,0.16545307256752323,0.13440093287221563,6.0,-0.026853567213855133
61,TrialState.COMPLETE,0.0723233386477748,0.5,637,2,0.004681082723199808,0.8340165976115395,0.8953058078521438,34,3.248554236677829,0.002464376508223704,14.662755971082492,20,0.11521062684808966,0.16110310766824087,0.7151359679873001,4.0,0.0723233386477748
62,TrialState.COMPLETE,-0.007802146486242369,0.45,881,3,0.00404596137078302,0.8520739966876291,0.8172802470100147,40,1.6016700946913756,0.010449907589985985,10.654936553467516,20,0.032643729677205295,0.1222293808172383,0.2670694186532398,6.0,-0.007802146486242369
63,TrialState.COMPLETE,-0.009361175895642556,0.5,723,2,0.005308637648003356,0.9209308508612726,0.9363055227355243,37,0.6481606336450736,0.001339953486133714,15.78525638888963,50,0.04467940302884621,0.20353622795577714,0.21951572689336576,5.0,-0.009361175895642556
64,TrialState.COMPLETE,0.06522146562355059,0.5,747,2,0.009712727653878065,0.8093423765838682,0.8786076613893992,31,4.9557174449179,0.0011188896967379183,14.03741727807348,20,0.10872775622855041,0.16419811969166573,0.6621741858720515,4.0,0.06522146562355059
65,TrialState.COMPLETE,0.03393675855053778,0.5,993,3,0.02895629835126258,0.6915026913886427,0.8504199288568897,23,0.6098590441895082,0.06853118811405029,15.824100220481744,20,0.07629276287281424,0.1451133549447156,0.5257459790787676,5.0,0.03393675855053778
66,TrialState.COMPLETE,0.00028653253418823785,0.5,695,3,0.004833446590327074,0.9424946289930178,0.764647626954716,39,3.334280468261368,0.0012339119903977027,1.5855917229770222,80,0.048414596783864464,0.1473069879150478,0.3286646307083901,7.0,0.00028653253418823785
67,TrialState.COMPLETE,0.059815735510169325,0.5,671,2,0.004665295996315954,0.8667591614704413,0.9005129074645065,40,2.4778793429022703,0.0019067131557740774,10.148756604115611,20,0.10238047817581158,0.15949037999487797,0.6419225923162233,4.0,0.059815735510169325
68,TrialState.COMPLETE,-0.0010138307486329858,0.65,642,2,0.006137070430882644,0.9087070959477154,0.7632494327305022,26,4.182321173631297,0.003121238187649549,28.25615125019871,80,0.056137888574828994,0.19242526328397655,0.2917386605935524,7.0,-0.0010138307486329858
69,TrialState.COMPLETE,0.013272355961674271,0.5,1043,3,0.011354816419599578,0.7759787879530052,0.7733819125578502,35,2.2297399562914166,0.01629506791378461,1.429631897826244,50,0.05548382378769523,0.13105733913010478,0.42335533558036514,6.0,0.013272355961674271
70,TrialState.COMPLETE,-0.021565388693173003,0.45,851,2,0.005617621282708811,0.8062624622104828,0.9393098242252516,40,4.100835822474901,0.008867596183923885,28.024426441352844,80,0.030946018221023244,0.19589036790431455,0.1579762116539557,5.0,-0.021565388693173003
71,TrialState.COMPLETE,0.0015596081930100807,0.5,677,2,0.006621448690452551,0.7720679677547306,0.7211055215461105,35,5.014754052332325,0.12229503950480483,16.79886111239415,20,0.061613350411789954,0.206935377760566,0.2977419863078198,7.0,0.0015596081930100807
72,TrialState.COMPLETE,0.045184753286215025,0.5,710,3,0.01698822560429266,0.7739755210857732,0.8527958930198232,31,5.06516811857918,0.010119861441091269,23.306886317475108,80,0.08458790035265405,0.14368240199886181,0.588714408834313,4.0,0.045184753286215025
73,TrialState.COMPLETE,0.02535075644827936,0.65,645,3,0.008837019383445001,0.8497649316813115,0.7999927449492864,38,5.93084303330318,0.004586989365985263,5.478547864185459,20,0.06642975954243686,0.1520616821374542,0.43686061214546174,4.0,0.02535075644827936
74,TrialState.COMPLETE,-0.11072708714297844,0.6,612,2,0.004296691100522002,0.7953779978381803,0.9088680724307721,24,5.444999679933616,0.001831062271071589,13.50632652858316,20,-0.046021693170728906,0.19019363652791427,-0.24197283363880795,10.0,-0.11072708714297844
75,TrialState.COMPLETE,-0.0873115913782353,0.55,710,2,0.024606317000425548,0.6840494433831017,0.8395915779344063,26,4.420449796625976,0.0019386495302651213,15.176166754165319,20,-0.021336266718417148,0.19654328996575743,-0.10855759421822256,10.0,-0.0873115913782353
76,TrialState.PRUNED,-0.04707487761605174,0.5,752,2,0.008040197800717757,0.8164123666548352,0.933234487944471,40,2.7565346409660374,0.0023827752164642824,2.117116377191382,50,,,,,
77,TrialState.COMPLETE,0.0004591527604941928,0.5,1029,3,0.00417286863783476,0.8421239388272481,0.9374645375430366,23,3.4882250856997836,0.005487025191735653,12.865728939128587,20,0.04926963618390488,0.16405241711705346,0.3003286208745732,6.0,0.0004591527604941928
78,TrialState.COMPLETE,0.022378458642391227,0.5,632,2,0.006399407984193536,0.8373467050142086,0.9316843377991415,28,5.23657663287331,0.0010645454586940132,76.30397532749805,20,0.06833346563899652,0.1764417016496931,0.38728636711215586,4.0,0.022378458642391227
79,TrialState.COMPLETE,-0.08355394760322868,0.6,891,2,0.005390132618195718,0.938631631863202,0.9225791249808545,39,2.6790905777797356,0.0262936592214857,9.788729123114393,50,-0.02555592549123512,0.18332344389330116,-0.1394034769830601,8.0,-0.08355394760322868
80,TrialState.COMPLETE,-0.020137742274635644,0.65,1104,2,0.008672887394486387,0.9497248841287839,0.9224234468489825,34,3.3059301904622664,0.014754606736743173,88.31185920052107,50,0.029493031070570695,0.1681538667260317,0.17539311848607592,6.0,-0.020137742274635644
81,TrialState.COMPLETE,0.058438599481578986,0.5,1118,2,0.0042885029184316584,0.8291454425445202,0.8807021585508502,37,4.819791930789476,0.007460499923373417,12.73151291717995,50,0.09930789718644722,0.1510131551910079,0.6576109019167129,4.0,0.058438599481578986
82,TrialState.COMPLETE,0.0655389008884241,0.5,753,2,0.00442227256387774,0.9016042202136736,0.8400538304493657,35,3.2925876138657606,0.39192860714016986,16.228581804513663,30,0.10664819260395415,0.15221312524431693,0.7006504362404582,4.0,0.0655389008884241
83,TrialState.COMPLETE,0.050352051202598086,0.5,631,2,0.009940972448474337,0.8513464277003027,0.8820168191630209,17,4.841045613813611,0.005800859753798752,6.890106900409864,30,0.09358028614778478,0.16280784139260016,0.5747897972685616,4.0,0.050352051202598086
84,TrialState.COMPLETE,0.042520332492434504,0.5,666,3,0.004467959625294302,0.848629210900048,0.8427291313724987,33,2.8451755869372226,0.6433290547357388,10.918995411949004,30,0.08220123499736438,0.14507117919131607,0.5666269169078687,4.0,0.042520332492434504
85,TrialState.COMPLETE,-0.05899411983042523,0.65,1115,2,0.013308966200819271,0.6699307758140187,0.8289208876827361,18,1.5182921501867106,0.013844065852870907,11.729381635017385,20,0.006966192369626565,0.20980156100025898,0.03320372039375801,9.0,-0.05899411983042523
86,TrialState.COMPLETE,0.00586108106848391,0.5,936,3,0.016122614654593675,0.7797697716630866,0.8027728317447493,27,4.9016997879741995,0.0010605178838116343,7.771130059457826,20,0.04717682336748181,0.12657871149498948,0.3727074071957927,6.0,0.00586108106848391
87,TrialState.COMPLETE,0.04581758621402493,0.5,645,2,0.011460168453083352,0.7381771048252225,0.8624620477986451,29,0.13524891076482248,0.2802428736469838,2.5381008308266013,20,0.09305518442494674,0.16952132438794243,0.548929078751142,5.0,0.04581758621402493
