feature,category,count,frequency,frequency_percent
exchange_rate,Macroeconomic,15,1.0,100.0
inflation_rate,Macroeconomic,15,1.0,100.0
interest_rate,Macroeconomic,15,1.0,100.0
mom_252,Momentum / Trend,15,1.0,100.0
gdp,Macroeconomic,14,0.9333333333333333,93.33333333333333
vol_60,Volatility,14,0.9333333333333333,93.33333333333333
price_to_ma252,Momentum / Trend,14,0.9333333333333333,93.33333333333333
atr_14,Volatility,14,0.9333333333333333,93.33333333333333
unemployment_rate,Macroeconomic,13,0.8666666666666667,86.66666666666667
volume,Liquidity,13,0.8666666666666667,86.66666666666667
mom_126,Momentum / Trend,13,0.8666666666666667,86.66666666666667
ma_60_slope,Momentum / Trend,12,0.8,80.0
quarter,Seasonality,11,0.7333333333333333,73.33333333333333
mom_60,Momentum / Trend,10,0.6666666666666666,66.66666666666666
mom60_x_vol20,Momentum / Trend,10,0.6666666666666666,66.66666666666666
low,Raw OHLC,9,0.6,60.0
q_1,Other,5,0.3333333333333333,33.33333333333333
realized_vol_20,Volatility,5,0.3333333333333333,33.33333333333333
price_to_ma60,Momentum / Trend,4,0.26666666666666666,26.666666666666668
ma_252,Momentum / Trend,4,0.26666666666666666,26.666666666666668
month,Seasonality,4,0.26666666666666666,26.666666666666668
ma_60,Momentum / Trend,3,0.2,20.0
open,Raw OHLC,3,0.2,20.0
q_3,Seasonality,2,0.13333333333333333,13.333333333333334
