feature,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,selection_count
exchange_rate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
inflation_rate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
interest_rate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
mom_252,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
gdp,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
vol_60,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,14
price_to_ma252,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
atr_14,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,14
unemployment_rate,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,13
volume,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,13
mom_126,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,13
ma_60_slope,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,12
quarter,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,11
mom_60,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,10
mom60_x_vol20,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,10
low,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,9
q_1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,5
realized_vol_20,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,5
price_to_ma60,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,4
ma_252,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,4
month,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,4
ma_60,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3
open,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
q_3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
